,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,QT_APTOS,QT_COMPARECIMENTO,QT_ABSTENCAO,VOTOS_BRANCOS,VOTOS_NULOS,PCT_ABSTENCAO,PCT_BRANCOS,PCT_NULOS
126,PB,20516,JOÃO PESSOA,1118410,955532,162878,129052,160379,14.56335333196234,13.505774793518166,16.7842625887987
127,PB,20532,JUAREZ TÁVORA,14810,12336,2474,1844,2166,16.704929101958136,14.948119325551232,17.558365758754864
128,PB,20559,JUAZEIRINHO,26586,21418,5168,3384,4271,19.438802377191003,15.799794565318892,19.941170977682322
129,PB,20575,JUNCO DO SERIDÓ,11366,9403,1963,1162,1586,17.270807672004224,12.357758162288631,16.866957354035947
130,PB,20591,JURIPIRANGA,19490,16402,3088,2083,2915,15.844022575679837,12.699670771857091,17.772222899646383
131,PB,20613,JURU,15464,12087,3377,1233,2408,21.83781686497672,10.201042442293373,19.922230495573757
132,PB,20630,LAGOA,9558,7369,2189,584,1006,22.90228081188533,7.925091599945719,13.651784502646223
133,PB,20656,LAGOA DE DENTRO,14460,11227,3233,1341,1786,22.3582295988935,11.944419702502895,15.908078738754789
134,PB,20672,LAGOA SECA,41286,35397,5889,7171,8506,14.263915128615027,20.258778992569994,24.03028505240557
135,PB,20699,LASTRO,8486,6988,1498,798,789,17.652604289417866,11.419576416714367,11.290784201488266
136,PB,20710,LIVRAMENTO,11680,9210,2470,1284,1766,21.147260273972606,13.941368078175895,19.174809989142236
137,PB,20737,LUCENA,24852,19942,4910,2974,3293,19.75696121036536,14.913248420419215,16.51288737338281
138,PB,20753,MÃE D'ÁGUA,7544,6170,1374,425,742,18.213149522799576,6.888168557536467,12.025931928687196
139,PB,20770,MALTA,10362,8219,2143,1036,1182,20.681335649488517,12.604939773695097,14.38131159508456
140,PB,20796,MAMANGUAPE,65180,53830,11350,8897,9338,17.41331696839521,16.527958387516257,17.347204161248374
141,PB,20818,MANAÍRA,17324,13646,3678,1139,2602,21.23066266451166,8.346768283746153,19.067858713176022
142,PB,20834,MARI,34324,29232,5092,4076,5411,14.835100804102087,13.943623426382047,18.510536398467433
143,PB,20850,MASSARANDUBA,23440,19545,3895,3824,4795,16.616894197952217,19.565106165259657,24.533128677411103
144,PB,20877,MATARACA,16982,13015,3967,2194,2627,23.360028265222,16.85747214752209,20.18440261237034
145,PB,20893,MOGEIRO,21358,17585,3773,2440,3460,17.665511752036707,13.875462041512653,19.67586010804663
146,PB,20915,MONTADAS,9726,8307,1419,1363,1723,14.589759407772979,16.407848802215,20.741543276754545
147,PB,20931,MONTE HOREBE,7988,6099,1889,393,940,23.647971957936907,6.443679291687161,15.412362682406952
148,PB,20958,MONTEIRO,51582,42518,9064,6729,7507,17.572021247722073,15.826238299073333,17.656051554635685
149,PB,20974,MULUNGU,17814,14921,2893,1846,2347,16.240035926799145,12.3718249447088,15.729508746062596
150,PB,20990,NATUBA,13182,10779,2403,1493,2517,18.22940373236231,13.851006586881901,23.350960200389647
151,PB,21016,NAZAREZINHO,13680,11472,2208,1021,1515,16.140350877192983,8.899930264993026,13.206066945606695
152,PB,21032,NOVA FLORESTA,16000,12715,3285,1555,3222,20.53125,12.229650019661817,25.34014942980731
153,PB,21059,NOVA OLINDA,11106,7894,3212,894,1325,28.921303799747882,11.325057005320497,16.784899923992906
154,PB,21075,NOVA PALMEIRA,6764,5913,851,721,1005,12.581312832643407,12.193472010823609,16.996448503297817
155,PB,21091,OLHO D'ÁGUA,13998,10786,3212,987,1572,22.946135162166023,9.150750973484147,14.574448358983869
156,PB,21113,OLIVEDOS,7898,6573,1325,814,1248,16.776399088376802,12.383995131598965,18.986764034687358
157,PB,21130,OURO VELHO,5818,4988,830,361,667,14.266070814712961,7.237369687249398,13.372093023255813
158,PB,21156,PASSAGEM,5304,4160,1144,295,500,21.568627450980394,7.091346153846153,12.01923076923077
